id;name;urk_mark;inter_mark;code_soei
0404;Тераджоуль;ТДж;TJ;0250
0405;Гігаджоуль;ГДж;GJ;0249
0406;Мегаджоуль;МДж;MJ;0241
0407;*Кілоджоуль;кДж;kJ;0236
0408;Міліджоуль;мДж;mJ;0235
0409;Фемтоджоуль;ФДж;fJ;—
0410;Атоджоуль;аДж;aJ;—
0411;*Ват-година;Вт·год;W·h;0243
0412;Терават-година;ТВт·год;TW·h;—
0413;*Гігават-година (мільйон кіловат-годин);ГВт·год;GW·h;—
0414;*Мегават-година тисяча кіловат-годин);МВт·год;MW·h;—
0415;*Кіловат-година;кВт·год;kW·h;0245
0416;Гектоват-година;гВт·год;hW·h;0244
0417;*Ват;Вт;W;0212
0418;Гігават;ГВт;GW;—
0419;Мегават;МВт;MW;1105
0420;*Кіловат;кВт;kW;0214
0421;Міліват;мВт;mW;0211
0422;Гектоват;гВт;hW;0213
0423;Мікроват;мкВт;W;0210
0424;Нановат;нВт;nW;—
0425;Піковат;ПВт;pW;—
0426;Ерг;ерг;erg;—
0427;Ерг за секунду;ерг/с;erg/s;—
0428;Кілограм-сила-метр за секунду;кгс·м/с;kgf·m/s;—
0429;"Кінська сила метрична
(= 75 кгс • м/с = 735,499 Вт)";к.с.;HP;0238
0430;"Кінська сила (англ.)
(= 76,04 кгс • м/с = 745,7 Вт)";к.с.(англ.);hp (UK);—
0431;Фут-фунт-сила за секунду;фт·фнтс/с;ft·lbf/s;—
0432;Міліграм за годину;мг/год;mg/h;—
0433;*Кілограм за секунду;кг/с;kg/s;0499
0434;*Кубічний метр за годину;м3/год;m3/h;0513
0435;Кубічний сантиметр за секунду;см3/с;cm3/s;—
0436;Кілолітр за годину;кл/год;kl/h;—
0437;Літр за добу;л/доб;l/d;—
0438;Літр за годину;л/год;l/h;1179
0439;Літр за хвилину;л/хв;l/min;1185
0440;Літр за секунду;л/с;l/s;1186
0441;Мілілітр за хвилину;мл/хв;ml/min;—
0442;Мілілітр за секунду;мл/с;ml/s;—
0443;Ньютон на кубічний метр;Н/м3;N/m3;—
0444;Ньютон на кілограм;Н/кг;N/kg;—
0445;Дина на сантиметр;дина/см;dyn/cm;—
0446;Кіловат на метр квадратний;кВт/м2;kW/m2;
0447;Тонна-сила (= 9806,65 Н);тс;tf;1176
0448;Мікрограм на квадратний метр;мкг/м2;g/m2;—
0449;Тонна на квадратний метр;т/м2;t/m2;—
05;ТЕПЛОТЕХНІКА;;;
0501;*Кельвін;К;K;0288
0502;*Градус Цельсія;°C;°C;0280
0503;Градус Ренкіна;°Ra;°Ra;—
0504;*Градус Фаренгейта;°F;°F;1857
0505;Кельвін у мінус першому степені;К-1;K-1;—
0506;Паскаль на кельвін;Па/К;Pa/K;—
0507;"*Одиниця теплова британська
(= 1055,056 Дж)";Отб;Btu;1856
0508;15 °C калорія (п’ятнадцятиградусна калорія) (кал15 = 4,1855 Дж);кал15;cal15;—
0509;Міжнародна калорія (= 4,1868 Дж);калмн;calIT;
0510;Міжнародна мегакалорія (= 1,163 кВт·год);Мкалмн;McalIT;—
0511;Термохімічна калорія (= 4,184 Дж);калтх;calth;—
0512;Одиниця теплова британська за годину;Отб/год;Btu/h;—
0513;Ват на метр-кельвін;Вт/(м·К);W/(m·K);—
0514;Одиниця теплова британська за секунду-фут-градус Ренкіна;Отб/(с·фт·°Ra);Btu/(s·ft·°Ra);—
0515;Ват на квадратний метр-кельвін;Вт/(м2·К);W/(m2·K);—
0516;Одиниця теплова британська за секунду-квадратний-фут-градус Ренкіна;Отб/(с·фт2·°Ra);Btu/(s·ft2·°Ra);—
0517;Квадратний метр-кельвін на ват;(м2·К)/Вт;(m2·K)/W;—
0518;Кельвін на ват;К/Вт;K/W;—
0519;Ват на кельвін;Вт/К;W/K;—
0520;Кілоджоуль на кельвін;кДж/К;kJ/K;—
0521;Джоуль на кілограм-кельвін;Дж/(кг·К);J/(kg·K);—
0522;Кілоджоуль на кілограм-кельвін;кДж/(кг·К);kJ/(kg·K);—
0523;Одиниця теплова британська на фунт-градус Ренкіна (= 4,1868 Дж/кг·К);Отб/(фнт·°Ra);Btu/(lb·°Ra);—
0524;Градус Реомюра;°R;°R;—
0525;Джоуль на кілограм;Дж/кг;J/kg;—
0526;Кілоджоуль на кілограм;кДж/кг;kJ/kg;—
0527;Мегаджоуль на кілограм;МДж/кг;MJ/kg;—
0528;Одиниця теплова британська на фунт (= 2326 Дж/кг);Отб/фнт;Btu/lb;—
0529;Кельвін на метр;К/м;K/m;—
0530;Джоуль на кубічний метр-кельвін;Дж/(м3·К);J/(m3·K);—
0531;Калорія;кал;cal;0297
0532;Кілокалорія;ккал;kcal;0298
0533;Мегакалорія;Мкал;Mcal;0299
0534;Гігакалорія;Гкал;Gcal;0300
0535;Ват-секунда;Вт·с;W·s;—
